group_id,pdb_code,match_types,chemical_name,formula,canonical_smiles
RQ0,RQ0,head_to_tail,"""2-azanyl-5-[(2~{E},6~{E},8~{E},10~{E},12~{E},14~{E},18~{E},22~{E},26~{E},30~{E},34~{E})-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,8,10,12,14,18,22,26,30,34,38-dodecaenyl]-3-methoxy-6-methyl-cyclohexa-2,5-diene-1,4-dione""","""C58 H85 N O3""",COC1=C(N)C(=O)C(C)=C(C/C=C(\C)CC/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
RRX,RRX,head_to_tail,"""(3R)-beta,beta-caroten-3-ol""","""C40 H56 O""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)CCC1
RTL,RTL,head_to_tail,RETINOL,"""C20 H30 O""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
SP2,SP2,head_to_tail,"""3,4-DIHYDROSPHEROIDENE""","""C41 H62 O""",COC(C)(C)CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(/C)CC/C=C(\C)CCC=C(C)C
SPO,SPO,head_to_tail,SPHEROIDENE,"""C41 H60 O""",COC(C)(C)C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)\C=C\C=C(/C)CC/C=C(\C)CCC=C(C)C
SQA,SQA,tail_to_tail,2-AZASQUALENE,"""C29 H51 N""",CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCCN(C)C
SQL,SQL,tail_to_tail,"""(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene""","""C30 H50""",CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
SXN,SXN,head_to_tail,Salinixanthin,"""C61 H92 O9""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H](O)C(C)(C)O[C@@H]2O[C@@H](COC(=O)CCCCCCCCCCCC(C)C)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)CCC1=O
U42,U42,head_to_tail,"""[(2~{R},3~{S},4~{S},5~{R},6~{R})-6-[(6~{E},8~{E},10~{E},12~{E},14~{E},16~{E},18~{E},20~{E},22~{E},24~{E})-2,6,10,14,19,23-hexamethyl-25-(2,6,6-trimethylcyclohexen-1-yl)pentacosa-6,8,10,12,14,16,18,20,22,24-decaen-2-yl]oxy-3,4,5-tris(oxidanyl)oxan-2-yl]methyl pentadecanoate""","""C61 H96 O7""",CCCCCCCCCCCCCCC(=O)OC[C@H]1O[C@H](OC(C)(C)CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)[C@H](O)[C@@H](O)[C@@H]1O
U4Z,U4Z,head_to_tail,gamma-Carotene,"""C40 H56""",CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
UIX,UIX,head_to_tail,"""[(1~{S},5~{R})-3,3,5-trimethyl-5-oxidanyl-4-[(3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-[(1~{S},4~{S},6~{R})-2,2,6-trimethyl-4-oxidanyl-7-oxabicyclo[4.1.0]heptan-1-yl]octadeca-1,3,5,7,9,11,13,15,17-nonaenylidene]cyclohexyl] ethanoate""","""C42 H58 O5""",CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)[C@](C)(O)C1
V7N,V7N,head_to_tail,"""(2~{E},4~{E},6~{E},10~{E},12~{E},14~{E},16~{E},18~{E},20~{E},22~{Z},24~{E},26~{E},28~{E})-23-methanoyl-31-methoxy-2,6,10,14,19,27,31-heptamethyl-dotriaconta-2,4,6,10,12,14,16,18,20,22,24,26,28-tridecaenoic acid""","""C41 H54 O4""",COC(C)(C)C/C=C/C(C)=C/C=C/C(C=O)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(C)/C=C/C=C(\C)C(=O)O
V8K,V8K,head_to_tail,Dolichylphosphate,"""C55 H91 O4 P""",CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/CC[C@@H](C)CCOP(=O)(O)O
WVN,WVN,head_to_tail,"""1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-[(1R)-2,6,6-trimethylcyclohex-2-en-1-yl]octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene""","""C40 H56""",CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
XAT,XAT,head_to_tail,"""(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL""","""C40 H56 O4""",CC(/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
ZE0,ZE0,head_to_tail,"""(3'E)-3',4'-didehydro-1,2-dihydro-psi,psi-caroten-1-ol""","""C40 H56 O""",CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O
ZEX,ZEX,head_to_tail,"""(1R,2S)-4-{(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl}-2,5,5-trimethylcyclohex-3-en-1-ol""","""C40 H56 O2""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C[C@H](C)[C@H](O)CC2(C)C)C(C)(C)C[C@@H](O)C1
